year,Tariff_RES,iso3c
1996,90.8000030517578,COL
1997,90.4499969482422,COL
1998,90.0500030517578,COL
1999,90.25,COL
2000,90.2288436889648,COL
2001,90.2076873779297,COL
2002,90.2802429199219,COL
2003,91.0324783325195,COL
2004,90.853141784668,COL
2005,90.8457870483399,COL
2006,,COL
1970,,CRI
1971,,CRI
1972,,CRI
1973,,CRI
1974,,CRI
1975,,CRI
1976,,CRI
1977,,CRI
1978,,CRI
1979,,CRI
1980,90.7264022827149,CRI
1981,94.3552017211914,CRI
1982,95.1615982055664,CRI
1983,91.1296005249024,CRI
1984,87.2320022583008,CRI
1985,83.1999969482422,CRI
1986,83.75,CRI
1987,85.75,CRI
1988,87.08349609375,CRI
1989,87.2376251220703,CRI
1990,86.8417510986328,CRI
1991,86.4958724975586,CRI
1992,87.8499984741211,CRI
1993,89.6999969482422,CRI
1994,90.0500030517578,CRI
1995,91.25,CRI
1996,92.3000030517578,CRI
1997,92.9499969482422,CRI
1998,94.4000015258789,CRI
1999,95.25,CRI
2000,95.4499969482422,CRI
2001,95.8083267211914,CRI
2002,96.0385208129883,CRI
2003,96.0766143798828,CRI
2004,95.9925003051758,CRI
2005,95.9993438720703,CRI
2006,,CRI
1970,,DOM
1971,,DOM
1972,,DOM
1973,,DOM
1974,,DOM
1975,,DOM
1976,,DOM
1977,,DOM
1978,,DOM
1979,,DOM
1980,81.7338714599609,DOM
1981,84.6564483642578,DOM
1982,83.0733871459961,DOM
1983,77.4717712402344,DOM
1984,69.4346771240234,DOM
1985,84.6564483642578,DOM
1986,81.7338714599609,DOM
1987,78.2024230957031,DOM
1988,79.1766128540039,DOM
1989,78.567741394043,DOM
1990,76.9846801757813,DOM
1991,75.6451568603516,DOM
1992,66.3903198242188,DOM
1993,82.3427429199219,DOM
1994,84.9000015258789,DOM
1995,84.8499984741211,DOM
1996,86.8000030517578,DOM
1997,86.0500030517578,DOM
1998,89.75,DOM
1999,89.25,DOM
2000,88.6999969482422,DOM
2001,88.7982025146484,DOM
2002,89.2787933349609,DOM
2003,92.1856460571289,DOM
2004,92.2855987548828,DOM
2005,90.4592132568359,DOM
2006,,DOM
1970,,ECU
1971,,ECU
1972,,ECU
1973,,ECU
1974,,ECU
1975,,ECU
1976,,ECU
1977,,ECU
1978,,ECU
1979,,ECU
1980,75.7611389160156,ECU
1981,76.2184753417969,ECU
1982,79.8771743774414,ECU
1983,73.6269073486328,ECU
1984,72.8646774291992,ECU
1985,64.3277130126953,ECU
1986,71.9499969482422,ECU
1987,79.9499969482422,ECU
1988,77.5250015258789,ECU
1989,75.25,ECU
1990,76.8000030517578,ECU
1991,84.6999969482422,ECU
1992,90.8499984741211,ECU
1993,91.6999969482422,ECU
